index,name,sys_id,ip_address,serial_number,asset_tag,manufacturer,model_id,location,support_group,managed_by,company,operational_status,install_status,missing_fields
1,"Altus - Waxahachie",4114cac1c3226a10a01d5673e401316d,"172.34.64.1","FGT60D4Q16068149","","Fortinet","","TODO: Add location","TODO: Add support group","TODO: Add managed by","Altus Community Healthcare","Operational","Installed","asset_tag; model_id; location; support_group; managed_by"
2,"Altus - Beaumont",42b64a89c3226a10a01d5673e40131e9,"10.246.10.1","18B169B73D68","Sonicwall","Sonicwall","","TODO: Add location","TODO: Add support group","TODO: Add managed by","Altus Community Healthcare","Operational","Installed","model_id; location; support_group; managed_by"
3,"Altus - Lumberton",43b34205c3226a10a01d5673e40131db,"172.31.61.1","FG100D3G13817895","","Fortinet","","TODO: Add location","TODO: Add support group","TODO: Add managed by","Altus Community Healthcare","Operational","Installed","asset_tag; model_id; location; support_group; managed_by"
4,"Altus-Corporate_FG100FTK19024575",56328281c3226a10a01d5673e4013120,"10.15.35.1","FG100FTK19024575","","Fortinet","","TODO: Add location","TODO: Add support group","TODO: Add managed by","Altus Community Healthcare","Operational","Installed","asset_tag; model_id; location; support_group; managed_by"
5,"Altus - Amarillo S",69764a89c3226a10a01d5673e40131e2,"10.6.0.1","2CB8ED37E990","Sonicwall","","","TODO: Add location","TODO: Add support group","TODO: Add managed by","Altus Community Healthcare","Operational","Installed","manufacturer; model_id; location; support_group; managed_by"
6,"Altus - Orange",6d77024dc3226a10a01d5673e4013155,"10.246.11.1","18B169B74554","Sonicwall","","","TODO: Add location","TODO: Add support group","TODO: Add managed by","Altus Community Healthcare","Operational","Installed","manufacturer; model_id; location; support_group; managed_by"
7,"Altus - Amarillo N",7946c249c3226a10a01d5673e401316c,"10.12.1.1","2CB8ED9DFF00","Sonicwall","","","TODO: Add location","TODO: Add support group","TODO: Add managed by","Altus Community Healthcare","Operational","Installed","manufacturer; model_id; location; support_group; managed_by"
8,"Altus - FortWorth (Eastchase)",7bf68e0dc3226a10a01d5673e401319b,"10.102.1.1","18B169884F04","Sonicwall","","","TODO: Add location","TODO: Add support group","TODO: Add managed by","Altus Community Healthcare","Operational","Installed","manufacturer; model_id; location; support_group; managed_by"
9,"Altus - Amarillo W",8296cec9c3226a10a01d5673e4013146,"10.247.22.1","18B169B73984","Sonicwall","","","TODO: Add location","TODO: Add support group","TODO: Add managed by","Altus Community Healthcare","Operational","Installed","manufacturer; model_id; location; support_group; managed_by"
10,"Altus - Lake Jackson",8de30205c3226a10a01d5673e401315a,"172.32.62.1","FG100D3G15822821","","Fortinet","","TODO: Add location","TODO: Add support group","TODO: Add managed by","Altus Community Healthcare","Operational","Installed","asset_tag; model_id; location; support_group; managed_by"
11,"Altus - Livingston",b637424dc3226a10a01d5673e4013144,"10.1.2.1","18B169B5ACC4","Sonicwall","","Livingston","8714746c8361261068537cdfeeaad39d","TODO: Add support group","TODO: Add managed by","Altus Community Healthcare","Operational","Installed","manufacturer; model_id; support_group; managed_by"
12,"Altus - Brownsville",bad68a0dc3226a10a01d5673e4013180,"10.104.1.1","18B169B78220","Sonicwall","","","TODO: Add location","TODO: Add support group","TODO: Add managed by","Altus Community Healthcare","Operational","Installed","manufacturer; model_id; location; support_group; managed_by"
13,"Altus -Lubbock",c657464dc3226a10a01d5673e40131f3,"10.246.34.1","18B169B73D74","Sonicwall","","","TODO: Add location","TODO: Add support group","TODO: Add managed by","Altus Community Healthcare","Operational","Installed","manufacturer; model_id; location; support_group; managed_by"
14,"Altus - Harlingen",cf17824dc3226a10a01d5673e40131cc,"10.103.1.1","18B169886F08","Sonicwall","","","TODO: Add location","TODO: Add support group","TODO: Add managed by","Altus Community Healthcare","Operational","Installed","manufacturer; model_id; location; support_group; managed_by"
15,"Altus - Tyler",e4e7ce4dc3226a10a01d5673e40131f7,"10.105.1.1","18B169F5B050","Sonicwall","","","TODO: Add location","TODO: Add support group","TODO: Add managed by","Altus Community Healthcare","Operational","Installed","manufacturer; model_id; location; support_group; managed_by"
16,"Altus - Port Arthur",f8c74e4dc3226a10a01d5673e4013157,"10.246.20.1","18B169B6F310","Sonicwall","","","TODO: Add location","TODO: Add support group","TODO: Add managed by","Altus Community Healthcare","Operational","Installed","manufacturer; model_id; location; support_group; managed_by"