VM Name,Resource Group,Location,VM Size,OS Type,Power State,Private IPs,Public IPs,Provisioning State
AZMIGAPPv2,RG-ALTUS-SCUS-AZMIG-V2,southcentralus,Standard_D16s_v5,Windows,VM running,10.52.3.4,,Succeeded
AHCADVANTX1,RG-ALTUS-SCUS-WORKLOADS-01,southcentralus,Standard_D2s_v5,Windows,VM running,172.16.2.13,,Succeeded
AHCAPPSRV1,RG-ALTUS-SCUS-WORKLOADS-01,southcentralus,Standard_D2s_v5,Windows,VM running,172.16.2.12,,Succeeded
ahccbomedsrv,RG-ALTUS-SCUS-WORKLOADS-01,southcentralus,Standard_D2s_v5,Windows,VM running,172.16.2.54,,Succeeded
AHCEPOWERSRV,RG-ALTUS-SCUS-WORKLOADS-01,southcentralus,Standard_D8s_v5,Windows,VM running,172.16.2.40,,Succeeded
AHCERICOMGRID,RG-ALTUS-SCUS-WORKLOADS-01,southcentralus,Standard_D2s_v5,Windows,VM running,172.16.2.38,,Succeeded
AHCERICOMSAG,RG-ALTUS-SCUS-WORKLOADS-01,southcentralus,Standard_D2s_v5,Windows,VM running,172.16.2.37,,Succeeded
AHCGCS,RG-ALTUS-SCUS-WORKLOADS-01,southcentralus,Standard_D2s_v5,Windows,VM running,172.16.2.10,,Succeeded
AHCGCS1,RG-ALTUS-SCUS-WORKLOADS-01,southcentralus,Standard_D2s_v5,Windows,VM running,172.16.2.9,,Succeeded
AHCMDREPDB,RG-ALTUS-SCUS-WORKLOADS-01,southcentralus,Standard_D4s_v5,Windows,VM running,172.16.2.75,,Succeeded
AHCMDREPINF,RG-ALTUS-SCUS-WORKLOADS-01,southcentralus,Standard_D2s_v5,Windows,VM running,172.16.2.76,,Succeeded
AHCRDP2,RG-ALTUS-SCUS-WORKLOADS-01,southcentralus,Standard_D8s_v5,Windows,VM running,172.16.2.46,,Succeeded
AHCRDP3,RG-ALTUS-SCUS-WORKLOADS-01,southcentralus,Standard_D8s_v4,Windows,VM running,172.16.2.47,,Succeeded
AHCSPAPP1,RG-ALTUS-SCUS-WORKLOADS-01,southcentralus,Standard_D4s_v5,Windows,VM running,172.16.2.30,,Succeeded
AHCSPDB1,RG-ALTUS-SCUS-WORKLOADS-01,southcentralus,Standard_D4s_v5,Windows,VM running,172.16.2.31,,Succeeded
AHCSPUAT,RG-ALTUS-SCUS-WORKLOADS-01,southcentralus,Standard_D4s_v5,Windows,VM running,172.16.2.29,,Succeeded
AHCSPWEB1,RG-ALTUS-SCUS-WORKLOADS-01,southcentralus,Standard_D2s_v5,Windows,VM running,172.16.2.32,,Succeeded
ahctsyseva,RG-ALTUS-SCUS-WORKLOADS-01,southcentralus,Standard_D4s_v5,Windows,VM running,172.16.2.73,,Succeeded
AHCUTILITY,RG-ALTUS-SCUS-WORKLOADS-01,southcentralus,Standard_D4s_v5,Windows,VM running,172.16.2.25,,Succeeded
ALTUSCORPGCS,RG-ALTUS-SCUS-WORKLOADS-01,southcentralus,Standard_D8s_v5,Windows,VM running,10.52.3.5,,Succeeded
ALTUSERLJ,RG-ALTUS-SCUS-WORKLOADS-01,southcentralus,Standard_D4s_v4,Windows,VM running,10.52.3.7,,Succeeded
ALTUSERWAX,RG-ALTUS-SCUS-WORKLOADS-01,southcentralus,Standard_D4s_v5,Windows,VM running,10.52.3.6,,Succeeded
LUMHOSPGCS,RG-ALTUS-SCUS-WORKLOADS-01,southcentralus,Standard_F8s_v2,Windows,VM running,10.52.3.8,,Succeeded
RISIW,RG-ALTUS-SCUS-WORKLOADS-01,southcentralus,Standard_D2s_v5,Windows,VM running,172.16.2.55,,Succeeded
ACH-OnePACS-GW,MAIN,eastus,Standard_D4as_v5,Windows,VM running,10.0.90.25,,Succeeded
dc-altus-azure,MAIN,eastus,Standard_D2s_v3,Windows,VM running,10.0.90.5,,Succeeded
FS-AHS,MAIN,eastus,Standard_D2s_v3,Windows,VM running,10.0.90.4,,Succeeded
restore-fshs,MAIN,eastus,Standard_D2s_v3,Windows,VM deallocated,10.0.90.7,,Succeeded
AZMIGAPP01,RG-ALTUS-SCUS-JMPBX-01,eastus,Standard_D4as_v5,Windows,VM running,10.0.90.10,,Succeeded
JMPBX-ALT01,RG-ALTUS-SCUS-JMPBX-01,eastus,Standard_D2as_v5,Windows,VM running,10.0.90.8,,Succeeded
VEEAM-ASR01,RG-ALTUS-SCUS-VEEAM-ASR01,eastus,Standard_D2as_v5,Windows,VM running,10.0.90.9,,Succeeded
ACHMSSQL01,RG-ALTUS-NCUS-FABRIC-01,northcentralus,Standard_D8s_v4,Windows,VM running,10.52.2.148,,Succeeded
ACHWEBAPP01,RG-ALTUS-NCUS-FABRIC-01,northcentralus,Standard_D2as_v5,Windows,VM running,10.52.2.149,,Succeeded
vm-altus-paloalto-firewall-001,RG-ALTUS-SCUS-PALOALTO-001,southcentralus,Standard_F8s_v2,Linux,VM running,10.52.0.4; 10.52.0.36; 10.52.0.20; 10.52.0.52,4.151.177.55,Succeeded
ACHADSYNC,RG-ALTUS-SCUS-SHAREDSERVICES-001,southcentralus,Standard_D4s_v5,Windows,VM running,10.52.1.4,,Succeeded
ACHSNOWMID,RG-ALTUS-SCUS-SHAREDSERVICES-001,southcentralus,Standard_D4s_v5,Windows,VM running,10.52.1.5,,Succeeded
ACHDC01,RG-ALTUS-SCUS-SHAREDSERVICES-002,southcentralus,Standard_D2s_v5,Windows,VM running,10.52.1.20,,Succeeded
ACHDC02,RG-ALTUS-SCUS-SHAREDSERVICES-002,southcentralus,Standard_D2s_v5,Windows,VM running,10.52.1.21,,Succeeded
ACHDC03x,RG-ALTUS-SCUS-SHAREDSERVICES-002,southcentralus,Standard_D2as_v5,Windows,VM running,10.52.1.22,,Succeeded
vm-vpn-test,RG-ALTUS-SCUS-SHAREDSERVICES-002,southcentralus,Standard_D2s_v3,Windows,VM running,10.52.1.28,,Succeeded