Name,Serial Number,Model,Management IP,Public IPs,Internal IPs,Status,Connection Status,Config Status,Firmware Version,Location,HA Mode,Policy Package
ACM-AZ-FW01,FGVM4VTM23003310,FortiGate-VM64-Azure,4.154.210.121,,,online,connected,in_sync,7,"47.234299, -119.852547",,
ACM-CSD-HSP-FW01,FGT60FTK220999TL,FortiGate-60F,35.131.122.26,,,online,connected,in_sync,7,"34.426392, -117.30088",,
ACM-FPA-BF-FW01,FGT60FTK220999WR,FortiGate-60F,12.221.86.154,,,online,connected,in_sync,7,"35.373291, -119.018707",,
ACM-FPA-BKY-FW01,FGT60FTK22099489,FortiGate-60F,12.0.178.106,,,online,connected,in_sync,7,"37.857147, -122.25923",,
ACM-FPA-CNA-FW01,FGT60FTK22098885,FortiGate-60F,74.62.25.238,,,online,connected,in_sync,7,"33.87529, -117.566437",,
ACM-FPA-CP-FW01,FGT60FTK22099406,FortiGate-60F,12.17.33.2,,,online,connected,in_sync,7,"34.198081, -118.601818",,
ACM-FPA-CVista-FW01,FGT60FTK220999YE,FortiGate-60F,12.0.137.138,,,online,connected,in_sync,7,"32.809385, -116.919789",,
ACM-FPA-DLA-FW01,FGT60FTK220999G6,FortiGate-60F,12.41.109.26,,,online,connected,in_sync,7,"34.063456, -118.288793",,
ACM-FPA-DNY-FW01,FGT60FTK22099A2Z,FortiGate-60F,64.63.149.222,,,online,connected,in_sync,7,"33.937252, -118.126351",,
ACM-FPA-ELA-FW01,FGT60FTK22099A30,FortiGate-60F,12.24.255.106,,,online,connected,in_sync,7,"34.052231, -118.243683",,
ACM-FPA-FSO-FW01,FGT60FTK220999WV,FortiGate-60F,12.159.136.82,,,online,connected,in_sync,7,"36.744568, -119.786799",,
ACM-FPA-GLE-FW01,FGT60FTK220999LD,FortiGate-60F,12.221.86.138,,,online,connected,in_sync,7,"34.143328, -118.250406",,
ACM-FPA-IGW-FW01,FGT60FTK22099AE1,FortiGate-60F,12.23.10.178,,,online,connected,in_sync,7,"33.961681, -118.353127",,
ACM-FPA-LAN-FW01,FGT60FTK220999W3,FortiGate-60F,47.179.4.218,,,online,connected,in_sync,7,"34.680078, -118.148447",,
ACM-FPA-LB-FW01,FGT60FTK22099A7V,FortiGate-60F,47.176.104.238,,,online,connected,in_sync,7,"33.807341, -118.189654",,
ACM-FPA-MDS-FW01,FGT60FTK220999CJ,FortiGate-60F,12.4.168.110,,,online,connected,in_sync,7,"37.67371, -120.975353",,
ACM-FPA-MH-FW01,FGT60FTK22099C5Q,FortiGate-60F,47.179.13.210,,,online,connected,in_sync,7,"34.052231, -118.243683",,
ACM-FPA-OXD-FW01,FGT60FTK22099A6G,FortiGate-60F,47.176.3.142,,,online,connected,in_sync,7,"34.216976, -119.14845",,
ACM-FPA-SA-FW01,FGT60FTK22099ADR,FortiGate-60F,12.221.126.162,,,online,connected,in_sync,7,"33.762579, -117.834852",,
ACM-FPA-SB-FW01,FGT60FTK22099CFQ,FortiGate-60F,47.176.244.234,,,online,connected,in_sync,7,"34.055099, -117.749992",,
ACM-FPA-SM-FW01,FGT60FTK22099780,FortiGate-60F,47.176.77.246,,,online,connected,in_sync,7,"34.038766, -118.467451",,
ACM-FPA-STKTN-FW01,FGT60FTK22099CHC,FortiGate-60F,50.250.165.61,,,online,connected,in_sync,7,"38.606456, -121.381108",,
ACM-FPA-TMC-FW01,FGT60FTK220999UJ,FortiGate-60F,47.177.154.66,,,online,connected,in_sync,7,"34.055099, -117.749992",,
ACM-FPA-TOR-FW01,FGT60FTK22099BBW,FortiGate-60F,47.179.4.70,,,online,connected,in_sync,7,"33.802571, -118.351501",,
ACM-FPA-TUL-FW01,FGT60FTK22013721,FortiGate-60F,32.143.28.146,,,online,connected,in_sync,7,"40.691921, -74.78331",,
ACM-FPA-UPL-FW01,FGT60FTK22099118,FortiGate-60F,76.53.85.14,,,online,connected,in_sync,7,"34.063339, -117.650887",,
ACM-FPA-WC-FW01,FGT60FTK22099BCU,FortiGate-60F,47.179.2.38,,,online,connected,in_sync,7,"34.055099, -117.749992",,
ACM-HDG-HSP-FW01,FGT60FTK22099AKH,FortiGate-60F,66.215.82.74,,,online,connected,in_sync,7,"34.426392, -117.30088",,
ACM-HDG-PD-FW01,FGT60FTK22099434,FortiGate-60F,47.176.246.82,,,online,connected,out_of_sync,7,"34.055099, -117.749992",,
ACM-HDG-RC-FW01,FGT60FTK22098936,FortiGate-60F,47.176.245.154,,,online,connected,out_of_sync,7,"34.055099, -117.749992",,
ACM-HDG-RM-FW01,FGT60FTK22099A2M,FortiGate-60F,47.176.243.166,,,online,connected,in_sync,7,"33.72224, -116.374458",,
ACM-HQ-FW01,FG100FTK22004809,FortiGate-100F,47.179.22.78,,,online,connected,in_sync,7,"34.055099, -117.749992",,
ACM-PD-FWtmp,FGT60FTK22026355,FortiGate-60F,192.168.23.1,,,offline,disconnected,out_of_sync,7,"33.7297253041372, -116.304502934217",,
ACM-RC-FWtmp,FGT60FTK22014374,FortiGate-60F,192.168.21.1,,,offline,disconnected,out_of_sync,7,"34.052231, -118.243683",,