Firewall,Interface,IP Address,Netmask,Network CIDR,Type,Description,Alias
ACM-FPA-MH-FW01,wqt.root,10.253.255.254,255.255.240.0,10.253.240.0/20,LAN,Quarantine Soft Switch,
ACM-FPA-MH-FW01,fortilink,10.223.11.1,255.255.255.0,10.223.11.0/24,LAN,,
ACM-FPA-MH-FW01,quarantine,10.255.11.1,255.255.255.0,10.255.11.0/24,LAN,Quarantine VLAN,quarantine.fortilink
ACM-FPA-MH-FW01,rspan,10.255.12.1,255.255.255.0,10.255.12.0/24,LAN,Sniffer VLAN,rspan.fortilink
ACM-FPA-MH-FW01,nac_segment,10.255.13.1,255.255.255.0,10.255.13.0/24,LAN,NAC Segment VLAN,nac_segment.fortilink
ACM-FPA-MH-FW01,ACMIOT,172.16.23.1,255.255.255.0,172.16.23.0/24,LAN,,ACMIOT
ACM-FPA-MH-FW01,FPAWH-Guest,172.16.33.1,255.255.255.0,172.16.33.0/24,LAN,,FPAWH-Guest
ACM-FPA-MH-FW01,AllCare Data,192.168.11.1,255.255.255.0,192.168.11.0/24,LAN,,
ACM-FPA-MH-FW01,AllCare Voice,172.16.30.1,255.255.255.0,172.16.30.0/24,LAN,,
ACM-FPA-OXD-FW01,wan1,47.176.3.142,255.255.255.252,47.176.3.140/30,WAN,,Nitel Primary
ACM-FPA-OXD-FW01,wan2,47.178.22.2,255.255.255.252,47.178.22.0/30,WAN,,Nitel Secondary
ACM-FPA-OXD-FW01,wqt.root,10.253.255.254,255.255.240.0,10.253.240.0/20,LAN,Quarantine Soft Switch,
ACM-FPA-OXD-FW01,internal,192.168.1.99,255.255.255.0,192.168.1.0/24,LAN,,
ACM-FPA-OXD-FW01,fortilink,10.223.37.1,255.255.255.0,10.223.37.0/24,LAN,,
ACM-FPA-OXD-FW01,quarantine,10.255.11.1,255.255.255.0,10.255.11.0/24,LAN,Quarantine VLAN,quarantine.fortilink
ACM-FPA-OXD-FW01,nac_segment,10.255.13.1,255.255.255.0,10.255.13.0/24,LAN,NAC Segment VLAN,nac_segment.fortilink
ACM-FPA-OXD-FW01,rspan,10.255.12.1,255.255.255.0,10.255.12.0/24,LAN,Sniffer VLAN,rspan.fortilink
ACM-FPA-OXD-FW01,AllCare Data,192.168.37.1,255.255.255.0,192.168.37.0/24,LAN,,
ACM-FPA-OXD-FW01,AllCare Voice,172.16.37.1,255.255.255.0,172.16.37.0/24,LAN,,
ACM-FPA-OXD-FW01,FPAWH-Guest,172.16.33.1,255.255.255.0,172.16.33.0/24,LAN,,FPAWH-Guest
ACM-FPA-OXD-FW01,ACMIOT,172.16.23.1,255.255.255.0,172.16.23.0/24,LAN,,ACMIOT
ACM-FPA-SA-FW01,wan1,12.221.126.162,255.255.255.248,12.221.126.160/29,WAN,,Nitel Primary
ACM-FPA-SA-FW01,wan2,76.53.126.230,255.255.255.252,76.53.126.228/30,WAN,,Nitel Secondary
ACM-FPA-SA-FW01,wqt.root,10.253.255.254,255.255.240.0,10.253.240.0/20,LAN,Quarantine Soft Switch,
ACM-FPA-SA-FW01,internal,192.168.1.99,255.255.255.0,192.168.1.0/24,LAN,,
ACM-FPA-SA-FW01,fortilink,10.223.4.1,255.255.255.0,10.223.4.0/24,LAN,,
ACM-FPA-SA-FW01,quarantine,10.255.11.1,255.255.255.0,10.255.11.0/24,LAN,Quarantine VLAN,quarantine.fortilink
ACM-FPA-SA-FW01,rspan,10.255.12.1,255.255.255.0,10.255.12.0/24,LAN,Sniffer VLAN,rspan.fortilink
ACM-FPA-SA-FW01,nac_segment,10.255.13.1,255.255.255.0,10.255.13.0/24,LAN,NAC Segment VLAN,nac_segment.fortilink
ACM-FPA-SA-FW01,FPAWH-Guest,172.16.33.1,255.255.255.0,172.16.33.0/24,LAN,,FPAWH-Guest
ACM-FPA-SA-FW01,ACMIOT,172.16.23.1,255.255.255.0,172.16.23.0/24,LAN,,ACMIOT
ACM-FPA-SA-FW01,AllCare Data,192.168.4.1,255.255.255.0,192.168.4.0/24,LAN,,
ACM-FPA-SA-FW01,AllCare Voice,172.16.50.1,255.255.255.0,172.16.50.0/24,LAN,,
ACM-FPA-SB-FW01,wan1,47.176.244.234,255.255.255.252,47.176.244.232/30,WAN,,Nitel Primary
ACM-FPA-SB-FW01,wan2,72.34.90.186,255.255.255.252,72.34.90.184/30,WAN,,Nitel Secondary
ACM-FPA-SB-FW01,wqt.root,10.253.255.254,255.255.240.0,10.253.240.0/20,LAN,Quarantine Soft Switch,
ACM-FPA-SB-FW01,internal,192.168.1.99,255.255.255.0,192.168.1.0/24,LAN,,
ACM-FPA-SB-FW01,fortilink,10.223.99.1,255.255.255.0,10.223.99.0/24,LAN,,
ACM-FPA-SB-FW01,quarantine,10.255.11.1,255.255.255.0,10.255.11.0/24,LAN,Quarantine VLAN,quarantine.fortilink
ACM-FPA-SB-FW01,rspan,10.255.12.1,255.255.255.0,10.255.12.0/24,LAN,Sniffer VLAN,rspan.fortilink
ACM-FPA-SB-FW01,nac_segment,10.255.13.1,255.255.255.0,10.255.13.0/24,LAN,NAC Segment VLAN,nac_segment.fortilink
ACM-FPA-SB-FW01,AllCare Data,192.168.99.1,255.255.255.0,192.168.99.0/24,LAN,,
ACM-FPA-SB-FW01,AllCare Voice,172.16.20.1,255.255.255.0,172.16.20.0/24,LAN,,
ACM-FPA-SB-FW01,FPAWH-Guest,172.16.33.1,255.255.255.0,172.16.33.0/24,LAN,,FPAWH-Guest
ACM-FPA-SB-FW01,ACMIOT,172.16.23.1,255.255.255.0,172.16.23.0/24,LAN,,ACMIOT
ACM-FPA-SM-FW01,wan1,47.176.77.246,255.255.255.252,47.176.77.244/30,WAN,,Nitel Primary
ACM-FPA-SM-FW01,wan2,76.53.20.106,255.255.255.252,76.53.20.104/30,WAN,,Nitel Secondary
ACM-FPA-SM-FW01,wqt.root,10.253.255.254,255.255.240.0,10.253.240.0/20,LAN,Quarantine Soft Switch,
ACM-FPA-SM-FW01,fortilink,10.223.8.1,255.255.255.0,10.223.8.0/24,LAN,,
ACM-FPA-SM-FW01,quarantine,10.255.11.1,255.255.255.0,10.255.11.0/24,LAN,Quarantine VLAN,quarantine.fortilink
ACM-FPA-SM-FW01,rspan,10.255.12.1,255.255.255.0,10.255.12.0/24,LAN,Sniffer VLAN,rspan.fortilink
ACM-FPA-SM-FW01,nac_segment,10.255.13.1,255.255.255.0,10.255.13.0/24,LAN,NAC Segment VLAN,nac_segment.fortilink
ACM-FPA-SM-FW01,ACMIOT,172.16.23.1,255.255.255.0,172.16.23.0/24,LAN,,ACMIOT
ACM-FPA-SM-FW01,FPAWH-Guest,172.16.33.1,255.255.255.0,172.16.33.0/24,LAN,,FPAWH-Guest
ACM-FPA-SM-FW01,AllCare Data,192.168.8.1,255.255.255.0,192.168.8.0/24,LAN,,
ACM-FPA-SM-FW01,AllCare Voice,172.16.90.1,255.255.255.0,172.16.90.0/24,LAN,,
ACM-FPA-STKTN-FW01,wan1,50.250.165.61,255.255.255.252,50.250.165.60/30,WAN,,
ACM-FPA-STKTN-FW01,dmz,10.10.10.1,255.255.255.0,10.10.10.0/24,DMZ,,
ACM-FPA-STKTN-FW01,wqt.root,10.253.255.254,255.255.240.0,10.253.240.0/20,LAN,Quarantine Soft Switch,
ACM-FPA-STKTN-FW01,internal,192.168.1.99,255.255.255.0,192.168.1.0/24,LAN,,
ACM-FPA-STKTN-FW01,fortilink,10.255.1.1,255.255.255.0,10.255.1.0/24,LAN,,
ACM-FPA-STKTN-FW01,quarantine,10.255.11.1,255.255.255.0,10.255.11.0/24,LAN,Quarantine VLAN,quarantine.fortilink
ACM-FPA-STKTN-FW01,rspan,10.255.12.1,255.255.255.0,10.255.12.0/24,LAN,Sniffer VLAN,rspan.fortilink
ACM-FPA-STKTN-FW01,nac_segment,10.255.13.1,255.255.255.0,10.255.13.0/24,LAN,NAC Segment VLAN,nac_segment.fortilink
ACM-FPA-STKTN-FW01,AllCare Data,192.168.24.1,255.255.255.0,192.168.24.0/24,LAN,,
ACM-FPA-STKTN-FW01,AllCare Voice,172.16.24.1,255.255.255.0,172.16.24.0/24,LAN,,
ACM-FPA-STKTN-FW01,ACMIOT,172.16.23.1,255.255.255.0,172.16.23.0/24,LAN,,ACMIOT
ACM-FPA-STKTN-FW01,FPAWH-Guest,172.16.33.1,255.255.255.0,172.16.33.0/24,LAN,,FPAWH-Guest
ACM-FPA-TMC-FW01,wan1,47.177.154.66,255.255.255.252,47.177.154.64/30,WAN,,Nitel Primary
ACM-FPA-TMC-FW01,wan2,76.53.201.58,255.255.255.252,76.53.201.56/30,WAN,,Charter Communications
ACM-FPA-TMC-FW01,wqt.root,10.253.255.254,255.255.240.0,10.253.240.0/20,LAN,Quarantine Soft Switch,
ACM-FPA-TMC-FW01,internal,192.168.1.99,255.255.255.0,192.168.1.0/24,LAN,,
ACM-FPA-TMC-FW01,fortilink,10.223.17.1,255.255.255.0,10.223.17.0/24,LAN,,
ACM-FPA-TMC-FW01,quarantine,10.255.11.1,255.255.255.0,10.255.11.0/24,LAN,Quarantine VLAN,quarantine.fortilink
ACM-FPA-TMC-FW01,nac_segment,10.255.13.1,255.255.255.0,10.255.13.0/24,LAN,NAC Segment VLAN,nac_segment.fortilink
ACM-FPA-TMC-FW01,AllCare Data,192.168.17.1,255.255.255.0,192.168.17.0/24,LAN,,
ACM-FPA-TMC-FW01,AllCare Voice,172.16.150.1,255.255.255.0,172.16.150.0/24,LAN,,
ACM-FPA-TMC-FW01,FPAWH-Guest,172.16.33.1,255.255.255.0,172.16.33.0/24,LAN,,FPAWH-Guest
ACM-FPA-TMC-FW01,ACMIOT,172.16.23.1,255.255.255.0,172.16.23.0/24,LAN,,ACMIOT
ACM-FPA-TOR-FW01,wan1,47.179.4.70,255.255.255.252,47.179.4.68/30,WAN,,Nitel Primary
ACM-FPA-TOR-FW01,wan2,64.183.32.102,255.255.255.252,64.183.32.100/30,WAN,,Nitel Secondary
ACM-FPA-TOR-FW01,wqt.root,10.253.255.254,255.255.240.0,10.253.240.0/20,LAN,Quarantine Soft Switch,
ACM-FPA-TOR-FW01,internal,192.168.1.99,255.255.255.0,192.168.1.0/24,LAN,,
ACM-FPA-TOR-FW01,fortilink,10.223.7.1,255.255.255.0,10.223.7.0/24,LAN,,
ACM-FPA-TOR-FW01,quarantine,10.255.11.1,255.255.255.0,10.255.11.0/24,LAN,Quarantine VLAN,quarantine.fortilink
ACM-FPA-TOR-FW01,rspan,10.255.12.1,255.255.255.0,10.255.12.0/24,LAN,Sniffer VLAN,rspan.fortilink
ACM-FPA-TOR-FW01,nac_segment,10.255.13.1,255.255.255.0,10.255.13.0/24,LAN,NAC Segment VLAN,nac_segment.fortilink
ACM-FPA-TOR-FW01,FPAWH-Guest,172.16.33.1,255.255.255.0,172.16.33.0/24,LAN,,FPAWH-Guest
ACM-FPA-TOR-FW01,ACMIOT,172.16.23.1,255.255.255.0,172.16.23.0/24,LAN,,ACMIOT
ACM-FPA-TOR-FW01,AllCare Data,192.168.7.1,255.255.255.0,192.168.7.0/24,LAN,,
ACM-FPA-TOR-FW01,AllCare Voice,172.16.130.1,255.255.255.0,172.16.130.0/24,LAN,,
ACM-FPA-TUL-FW01,wan1,50.189.15.185,255.255.255.252,50.189.15.184/30,WAN,,
ACM-FPA-TUL-FW01,wan2,32.143.28.146,255.255.255.252,32.143.28.144/30,WAN,,AT&T
ACM-FPA-TUL-FW01,dmz,10.10.10.1,255.255.255.0,10.10.10.0/24,DMZ,,
ACM-FPA-TUL-FW01,wqt.root,10.253.255.254,255.255.240.0,10.253.240.0/20,LAN,Quarantine Soft Switch,
ACM-FPA-TUL-FW01,internal,10.10.20.1,255.255.255.0,10.10.20.0/24,LAN,,
ACM-FPA-TUL-FW01,fortilink,10.223.32.1,255.255.255.0,10.223.32.0/24,LAN,,
ACM-FPA-TUL-FW01,quarantine,10.255.11.1,255.255.255.0,10.255.11.0/24,LAN,Quarantine VLAN,quarantine.fortilink
ACM-FPA-TUL-FW01,rspan,10.255.12.1,255.255.255.0,10.255.12.0/24,LAN,Sniffer VLAN,rspan.fortilink
ACM-FPA-TUL-FW01,nac_segment,10.255.13.1,255.255.255.0,10.255.13.0/24,LAN,NAC Segment VLAN,nac_segment.fortilink
ACM-FPA-TUL-FW01,AllCare Data,192.168.32.1,255.255.255.0,192.168.32.0/24,LAN,,
ACM-FPA-TUL-FW01,AllCare Voice,172.16.32.1,255.255.255.0,172.16.32.0/24,LAN,,
ACM-FPA-TUL-FW01,ACMIOT,172.16.23.1,255.255.255.0,172.16.23.0/24,LAN,,ACMIOT
ACM-FPA-TUL-FW01,FPAWH-Guest,172.16.33.1,255.255.255.0,172.16.33.0/24,LAN,,FPAWH-Guest
ACM-FPA-UPL-FW01,wan2,76.53.85.14,255.255.255.252,76.53.85.12/30,WAN,,Nitel Secondary
ACM-FPA-UPL-FW01,wqt.root,10.253.255.254,255.255.240.0,10.253.240.0/20,LAN,Quarantine Soft Switch,
ACM-FPA-UPL-FW01,internal,192.168.1.99,255.255.255.0,192.168.1.0/24,LAN,,
ACM-FPA-UPL-FW01,fortilink,10.223.6.1,255.255.255.0,10.223.6.0/24,LAN,,
ACM-FPA-UPL-FW01,quarantine,10.255.11.1,255.255.255.0,10.255.11.0/24,LAN,Quarantine VLAN,quarantine.fortilink
ACM-FPA-UPL-FW01,nac_segment,10.255.13.1,255.255.255.0,10.255.13.0/24,LAN,NAC Segment VLAN,nac_segment.fortilink
ACM-FPA-UPL-FW01,AllCare Data,192.168.6.1,255.255.255.0,192.168.6.0/24,LAN,,
ACM-FPA-UPL-FW01,AllCare Voice,172.16.110.1,255.255.255.0,172.16.110.0/24,LAN,,
ACM-FPA-UPL-FW01,FPAWH-Guest,172.16.33.1,255.255.255.0,172.16.33.0/24,LAN,,FPAWH-Guest
ACM-FPA-UPL-FW01,ACMIOT,172.16.23.1,255.255.255.0,172.16.23.0/24,LAN,,ACMIOT
ACM-FPA-WC-FW01,wan1,47.179.2.38,255.255.255.252,47.179.2.36/30,WAN,,Nitel Primary
ACM-FPA-WC-FW01,wan2,66.214.38.138,255.255.255.252,66.214.38.136/30,WAN,,Nitel Secondary
ACM-FPA-WC-FW01,wqt.root,10.253.255.254,255.255.240.0,10.253.240.0/20,LAN,Quarantine Soft Switch,
ACM-FPA-WC-FW01,internal,192.168.1.99,255.255.255.0,192.168.1.0/24,LAN,,
ACM-FPA-WC-FW01,fortilink,10.223.26.1,255.255.255.0,10.223.26.0/24,LAN,,
ACM-FPA-WC-FW01,quarantine,10.255.11.1,255.255.255.0,10.255.11.0/24,LAN,Quarantine VLAN,quarantine.fortilink
ACM-FPA-WC-FW01,nac_segment,10.255.13.1,255.255.255.0,10.255.13.0/24,LAN,NAC Segment VLAN,nac_segment.fortilink
ACM-FPA-WC-FW01,AllCare Data,192.168.26.1,255.255.255.0,192.168.26.0/24,LAN,,
ACM-FPA-WC-FW01,AllCare Voice,172.16.55.1,255.255.255.0,172.16.55.0/24,LAN,,
ACM-FPA-WC-FW01,FPAWH-Guest,172.16.33.1,255.255.255.0,172.16.33.0/24,LAN,,FPAWH-Guest
ACM-FPA-WC-FW01,ACMIOT,172.16.23.1,255.255.255.0,172.16.23.0/24,LAN,,ACMIOT
ACM-HDG-HSP-FW01,wan1,66.215.82.74,255.255.255.252,66.215.82.72/30,WAN,,Legacy Primary
ACM-HDG-HSP-FW01,wan2,35.131.122.26,255.255.255.252,35.131.122.24/30,WAN,,Nitel Secondary
ACM-HDG-HSP-FW01,dmz,96.90.157.42,255.255.255.240,96.90.157.32/28,DMZ,,
ACM-HDG-HSP-FW01,wqt.root,10.253.255.254,255.255.240.0,10.253.240.0/20,LAN,Quarantine Soft Switch,
ACM-HDG-HSP-FW01,internal,192.168.1.99,255.255.255.0,192.168.1.0/24,LAN,,
ACM-HDG-HSP-FW01,fortilink,10.223.27.1,255.255.255.0,10.223.27.0/24,LAN,,
ACM-HDG-HSP-FW01,quarantine,10.255.11.1,255.255.255.0,10.255.11.0/24,LAN,Quarantine VLAN,quarantine.fortilink
ACM-HDG-HSP-FW01,rspan,10.255.12.1,255.255.255.0,10.255.12.0/24,LAN,Sniffer VLAN,rspan.fortilink
ACM-HDG-HSP-FW01,nac_segment,10.255.13.1,255.255.255.0,10.255.13.0/24,LAN,NAC Segment VLAN,nac_segment.fortilink
ACM-HDG-HSP-FW01,AllCare Data,192.168.27.1,255.255.255.0,192.168.27.0/24,LAN,,
ACM-HDG-HSP-FW01,AllCare Voice,172.16.65.1,255.255.255.0,172.16.65.0/24,LAN,,
ACM-HDG-HSP-FW01,ACMIOT,172.16.23.1,255.255.255.0,172.16.23.0/24,LAN,,ACMIOT
ACM-HDG-HSP-FW01,HDG-Guest,172.16.36.1,255.255.255.0,172.16.36.0/24,LAN,,HDG-Guest
ACM-HDG-PD-FW01,wan1,47.176.246.82,255.255.255.252,47.176.246.80/30,WAN,,Nitel Primary
ACM-HDG-PD-FW01,wan2,76.53.57.134,255.255.255.252,76.53.57.132/30,WAN,,Nitel Secondary
ACM-HDG-PD-FW01,wqt.root,10.253.255.254,255.255.240.0,10.253.240.0/20,LAN,Quarantine Soft Switch,
ACM-HDG-PD-FW01,internal,192.168.1.99,255.255.255.0,192.168.1.0/24,LAN,,
ACM-HDG-PD-FW01,fortilink,10.223.23.1,255.255.255.0,10.223.23.0/24,LAN,,
ACM-HDG-PD-FW01,quarantine,10.255.11.1,255.255.255.0,10.255.11.0/24,LAN,Quarantine VLAN,quarantine.fortilink
ACM-HDG-PD-FW01,nac_segment,10.255.13.1,255.255.255.0,10.255.13.0/24,LAN,NAC Segment VLAN,nac_segment.fortilink
ACM-HDG-PD-FW01,AllCare Data,192.168.23.1,255.255.255.0,192.168.23.0/24,LAN,,
ACM-HDG-PD-FW01,AllCare Voice,172.16.23.1,255.255.255.0,172.16.23.0/24,LAN,,
ACM-HDG-PD-FW01,HDG-Guest,172.16.36.1,255.255.255.0,172.16.36.0/24,LAN,,HDG-Guest
ACM-HDG-PD-FW01,ACMIOT,172.16.23.1,255.255.255.0,172.16.23.0/24,LAN,,ACMIOT
ACM-HDG-RC-FW01,wan1,47.176.245.154,255.255.255.252,47.176.245.152/30,WAN,,Nitel Primary
ACM-HDG-RC-FW01,wan2,47.181.229.228,255.255.255.0,47.181.229.0/24,WAN,,Nitel Secondary
ACM-HDG-RC-FW01,wqt.root,10.253.255.254,255.255.240.0,10.253.240.0/20,LAN,Quarantine Soft Switch,
ACM-HDG-RC-FW01,internal,192.168.1.99,255.255.255.0,192.168.1.0/24,LAN,,
ACM-HDG-RC-FW01,fortilink,10.223.21.1,255.255.255.0,10.223.21.0/24,LAN,,
ACM-HDG-RC-FW01,quarantine,10.255.11.1,255.255.255.0,10.255.11.0/24,LAN,Quarantine VLAN,quarantine.fortilink
ACM-HDG-RC-FW01,nac_segment,10.255.13.1,255.255.255.0,10.255.13.0/24,LAN,NAC Segment VLAN,nac_segment.fortilink
ACM-HDG-RC-FW01,rspan,10.255.12.1,255.255.255.0,10.255.12.0/24,LAN,Sniffer VLAN,rspan.fortilink
ACM-HDG-RC-FW01,AllCare Data,192.168.21.1,255.255.255.0,192.168.21.0/24,LAN,,
ACM-HDG-RC-FW01,AllCare Voice,172.16.21.1,255.255.255.0,172.16.21.0/24,LAN,,
ACM-HDG-RC-FW01,ACMIOT,172.16.23.1,255.255.255.0,172.16.23.0/24,LAN,,ACMIOT
ACM-HDG-RC-FW01,HDG-Guest,172.16.36.1,255.255.255.0,172.16.36.0/24,LAN,,HDG-Guest
ACM-HDG-RM-FW01,wan1,47.176.243.166,255.255.255.252,47.176.243.164/30,WAN,,Nitel Primary
ACM-HDG-RM-FW01,wan2,76.53.7.22,255.255.255.252,76.53.7.20/30,WAN,,Nitel Secondary
ACM-HDG-RM-FW01,wqt.root,10.253.255.254,255.255.240.0,10.253.240.0/20,LAN,Quarantine Soft Switch,
ACM-HDG-RM-FW01,internal,192.168.1.99,255.255.255.0,192.168.1.0/24,LAN,,
ACM-HDG-RM-FW01,fortilink,10.223.22.1,255.255.255.0,10.223.22.0/24,LAN,,
ACM-HDG-RM-FW01,quarantine,10.255.11.1,255.255.255.0,10.255.11.0/24,LAN,Quarantine VLAN,quarantine.fortilink
ACM-HDG-RM-FW01,nac_segment,10.255.13.1,255.255.255.0,10.255.13.0/24,LAN,NAC Segment VLAN,nac_segment.fortilink
ACM-HDG-RM-FW01,AllCare Data,192.168.22.1,255.255.255.0,192.168.22.0/24,LAN,,
ACM-HDG-RM-FW01,AllCare Voice,172.16.22.1,255.255.255.0,172.16.22.0/24,LAN,,
ACM-HDG-RM-FW01,HDG-Guest,172.16.36.1,255.255.255.0,172.16.36.0/24,LAN,,HDG-Guest
ACM-HDG-RM-FW01,ACMIOT,172.16.23.1,255.255.255.0,172.16.23.0/24,LAN,,ACMIOT
ACM-PD-FWtmp,wan1,47.176.246.82,255.255.255.252,47.176.246.80/30,WAN,,
ACM-PD-FWtmp,wan2,76.53.57.134,255.255.255.252,76.53.57.132/30,WAN,,
ACM-PD-FWtmp,dmz,10.10.10.1,255.255.255.0,10.10.10.0/24,DMZ,,
ACM-PD-FWtmp,internal,10.10.20.1,255.255.255.0,10.10.20.0/24,LAN,,
ACM-PD-FWtmp,fortilink,169.254.1.1,255.255.255.0,169.254.1.0/24,WAN,,
ACM-PD-FWtmp,AllCare Data,192.168.23.1,255.255.255.0,192.168.23.0/24,LAN,,
ACM-PD-FWtmp,AllCare Voice,172.16.23.1,255.255.255.0,172.16.23.0/24,LAN,,
ACM-RC-FWtmp,wan1,47.176.245.154,255.255.255.252,47.176.245.152/30,WAN,,Nitel Fiber
ACM-RC-FWtmp,wan2,47.180.180.195,255.255.255.0,47.180.180.0/24,WAN,,
ACM-RC-FWtmp,dmz,10.10.10.1,255.255.255.0,10.10.10.0/24,DMZ,,
ACM-RC-FWtmp,internal,192.168.21.1,255.255.255.0,192.168.21.0/24,LAN,,AllCare Data
ACM-RC-FWtmp,fortilink,169.254.1.1,255.255.255.0,169.254.1.0/24,WAN,,
ACM-RC-FWtmp,AllCare Voice,172.16.21.1,255.255.255.0,172.16.21.0/24,LAN,,