firewall_sys_id,firewall_name,network_sys_id,network_name,location_name
6d77024dc3226a10a01d5673e4013155,"Altus - Orange",03aa1312c3acb210ad36b9ff0501318b,"Altus - Orange Network","Orange"
b1940645c3226a10a01d5673e40131c9,"Altus - Crosby",03aa1bd2c3e4721066d9bdb4e4013167,"Altus - Crosby Network","Crosby"
bad68a0dc3226a10a01d5673e4013180,"Altus - Brownsville",07aa1bd2c3e4721066d9bdb4e4013163,"Altus - Brownsville Network","Brownsville"
c657464dc3226a10a01d5673e40131f3,"Altus - Lubbock",0baa1bd2c3e4721066d9bdb4e401315f,"Altus - Lubbock Network","Lubbock"
e4e7ce4dc3226a10a01d5673e40131f7,"Altus - Tyler",0baad7d2c3e4721066d9bdb4e40131f4,"Altus - Tyler Network","Tyler"
7946c249c3226a10a01d5673e401316c,"Altus - Amarillo N",0faa1312c3acb210ad36b9ff05013157,"Altus - Amarillo N Network","AMA North"
69764a89c3226a10a01d5673e40131e2,"Altus - Amarillo S",0faa1bd2c3e4721066d9bdb4e401315b,"Altus - Amarillo S Network","AMA South"
b2154685c3226a10a01d5673e40131b0,"Altus - Porter",13aa1312c3acb210ad36b9ff050131d2,"Altus - Porter Network","Porter"
5dc44a45c3226a10a01d5673e4013193,"Altus - Kingwood",1baa1bd2c3e4721066d9bdb4e401316e,"Altus - Kingwood Network","Kingwood"
91e48685c3226a10a01d5673e4013184,"Altus - Pasadena",1faa1bd2c3e4721066d9bdb4e401316a,"Altus - Pasadena Network","Pasadena"
f3350ac5c3226a10a01d5673e40131e2,"Altus - Anderson Mill",22aa1312c3acb210ad36b9ff05013154,"Altus - Anderson Mill Network","Anderson Mill"
7bf68e0dc3226a10a01d5673e401319b,"Altus - FortWorth (Eastchase)",32aad7d2c3e4721066d9bdb4e40131ed,"Altus - Fort Worth Network","Fort Worth"
42b64a89c3226a10a01d5673e40131e9,"Altus - Beaumont",36aa1312c3acb210ad36b9ff05013187,"Altus - Beaumont Network","Beaumont"
78d58249c3226a10a01d5673e4013159,"Altus - Riversid",36aadfdec36cb210ad36b9ff050131ee,"Altus - Riverside Network","Riverside"
f8c74e4dc3226a10a01d5673e4013157,"Altus - Port Arthur",3eaad7d2c3e4721066d9bdb4e40131f0,"Altus - Port Arthur Network","Port Arthur"
43b34205c3226a10a01d5673e40131db,"Altus - Lumberton",6eaa1bd2c3e4721066d9bdb4e4013117,"Altus - Lumberton Network","Lumberton"
cf17824dc3226a10a01d5673e40131cc,"Altus - Harlingen",83aa1312c3acb210ad36b9ff050131ad,"Altus - Harlingen Network","Harlingen"
8296cec9c3226a10a01d5673e4013146,"Altus - Amarillo W",87aa1312c3acb210ad36b9ff050131a9,"Altus - Amarillo W Network","AMA West"
26348a05c3226a10a01d5673e401312c,"Altus - Pearland",97aa1312c3acb210ad36b9ff050131b5,"Altus - Pearland Network","Pearland"
39bd8866c3a662105bcb9df0150131bf,"Altus - Baytown",9faa1312c3acb210ad36b9ff050131b0,"Altus - Baytown Network","Baytown"
56328281c3226a10a01d5673e4013120,"Altus - Corporate Office",a2aa1312c3acb210ad36b9ff05013110,"Altus - Corp Office Network","Corporate Office"
8de30205c3226a10a01d5673e401315a,"Altus - Lake Jackson",a2aa1bd2c3e4721066d9bdb4e4013112,"Altus - Lake Jackson Network","Lake Jackson"
99f5c249c3226a10a01d5673e4013163,"Altus - South Lamar",e6aa1bd2c3e4721066d9bdb4e4013145,"Altus - South Lamar Network","South Lamar"
4114cac1c3226a10a01d5673e401316d,"Altus - Waxahachie",eaaa1bd2c3e4721066d9bdb4e4013141,"Altus - Waxahachie Network","Waxahachie"
0b858ec5c3226a10a01d5673e4013175,"Altus - Mueller",f2aa1bd2c3e4721066d9bdb4e4013149,"Altus - Mueller Network","Mueller"
b637424dc3226a10a01d5673e4013144,"Altus - Livingston",f6aa1bd2c3e4721066d9bdb4e4013154,"Altus - Livingston Network","Livingston"
4ff1279ec3acb210ad36b9ff0501315f,"Altus - Dallas Datacenter",faaa1bd2c3e4721066d9bdb4e4013150,"Altus - Dallas Datacenter Network","Dallas"
3b55cac5c3226a10a01d5673e401314e,"Altus - Arboretum",faaadfdec36cb210ad36b9ff050131e9,"Altus - Arboretum Network","Arboretum"
c8b58ec5c3226a10a01d5673e40131eb,"Altus - Pflugerville",feaa1bd2c3e4721066d9bdb4e401314c,"Altus - Pflugerville Network","Pflugerville"